Shelf Type,Dual Evaporation,Depth Including Handles (in.),Water-Filtration-Replacement Indicator Light,Freezer Capacity,Ice Maker,Material,Height to Top of Door Hinge (in.),ENERGY STAR Qualified,Power Cord Included,Freezer Door Type,Thru-the-Door Water Dispenser,Sabbath Mode,Depth with Door 90&#176; Open (in.),Number Of Temperature Settings,Number Of Fixed Shelves,Number of Freezer Door Bins,Number of Doors,Humidity-Controlled Crisper,Dispensed Water Type,Interior Light(s),Spill-Safe Shelves,Surface Finish,Number Of Shelves,Freezer Compartment Width,Height to Top of Refrigerator (in.),Child Lock,See-Through Door,Door-Open Alarm,Water Filter Location,ETL Listed,Shelf Material,Lighting Type,Estimated Annual Electricity Use,Door-In-Door Capability,Maximum Temperature,Number of Refrigerator Door Bins,Number of Compressors,Automatic Defrost,Gallon Door Storage,pricematch,Factory-Installed Icemaker,Number of Evaporators,Depth Without Door,Water Dispenser,Digital Temperature Control,Total Capacity (cu. ft.),Amperage,Magnetic Doors,Freezer Compartment,Voltage,Number Of Adjustable Shelves,Bottle Capacity,CEE Qualified,Depth With Handle,Estimated Annual Operating Cost,Number Of Adjustable Freezer Shelves,ANSI Certified,Motion Activated Controls,Number of Temperature Controlled Zones,Number Of Doors,Refrigerator Capacity,Ice Tray Included,Number Of Fixed Freezer Shelves,Temperature Control Type,Color Category,Deli Meat Drawer,Wine Cooler Type,CSA Listed,Storage Capacity,Door-Handle Color,Capacity: Fresh-Food (cu. ft.),Refrigerator Shelf Construction,Height To Top Of Refrigerator,Refrigerator Shelf Material,Refrigerator Type,Cabinet Side Color,UL Listed,Number of Drawers,Depth With Door 90 Degrees Open,Door Lock,Water Filter Model Number,Side Cabinet Color,Wattage,Depth Without Handle,Dairy Center,In-Door Storage,Number of Refrigerator Shelves,Counter Depth,Door Handle Color,Number Of Units,Depth Without Handles (in.),LED Lighting,Frost-Free,Freezer Shelf Material,Thru-The-Door Dispenser,Minimum Temperature,CFC Free,Fresh Food Capacity,Cantilever Shelves,Height To Top Of Door Hinge,Thru-the-Door Ice Dispenser,ENERGY STAR Certified,Quick Freeze,Additional Accessories Included,Freezer Interior Light,Style,Capacity: Freezer (cu. ft.),Freezer Location,Estimated Yearly Operating Cost,Water Filtration,Adjustable Racks,ADA Compliant,Cooling Unit Type,Energy Consumption (kWh/year),Depth Less Door (in.),Ice Cube Style,Reversible Door Hinge,Water Dispenser Location,Estimated Yearly Electricity Use (kWh),Digital Display,NSF Listed,Crisper Drawer,Liner Material,Number of Freezer Shelves Baskets,Daily Ice Production,Dispenser Color,Door Swing,Smart Phone Compatible,Deodorizer,Wine Compatibility,Cord Length
N/A,N/A,N/A,N/A,6.2 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,569 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.25 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,34.625 inches,68 United States dollars,N/A,N/A,N/A,N/A,2,20.3 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.125 inches,Glass,Bottom Freezer,N/A,Yes,N/A,59.75 inches,No,N/A,N/A,N/A,32.5 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,14.1 cubic feet,Yes,66.5 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Bottom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,6,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Wire,N/A,256 kilowatt hours,N/A,65 degrees,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,32 United States dollars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LED display with touchscreen controls,Black,N/A,Freestanding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,40 degrees,N/A,N/A,N/A,N/A,N/A,No,N/A,"Large shelves, short shelf, keys, installation kits, stainless-steel handle",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Thermoelectric,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,7.7 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,4,N/A,N/A,Yes,N/A,N/A,Yes,Textured,N/A,N/A,N/A,No,N/A,Yes,N/A,N/A,N/A,LED,422 kilowatt hours,Yes,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.5 inches,N/A,N/A,N/A,15 amperes,Yes,Yes,120 volts,N/A,N/A,No,35.75 inches,45 United States dollars,2,N/A,N/A,N/A,3,26.7 cubic feet,Yes,N/A,Digital,Black,Yes,N/A,N/A,N/A,N/A,N/A,N/A,68.19 inches,Spill-proof glass,French Door,N/A,N/A,N/A,47.44 inches,No,N/A,Black,422 watts,31.75 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,Yes,Glass,Not Applicable,N/A,N/A,19 cubic feet,No,69.5 inches,N/A,Yes,No,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.98 cubic feet,Optional,N/A,N/A,N/A,N/A,Swing Door,N/A,N/A,N/A,N/A,1,N/A,N/A,No,Not Applicable,N/A,No,Textured,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,25.75 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,2,N/A,N/A,31.6 inches,N/A,1,N/A,N/A,N/A,2,14.6 cubic feet,N/A,N/A,Analog,White,No,N/A,Yes,N/A,N/A,N/A,N/A,61.25 inches,Wire,Top Freezer,N/A,Yes,N/A,55.9 inches,N/A,N/A,White,N/A,29.5 inches,Yes,N/A,N/A,No,White,1,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,10.6 cubic feet,No,61.75 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Top,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,6,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Wire,N/A,440 kilowatt hours,N/A,65 degrees,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,55 United States dollars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LED display with touchscreen controls,Black,N/A,Freestanding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,40 degrees,N/A,N/A,N/A,N/A,N/A,No,N/A,"Shelves, keys",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Thermoelectric,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Red|White,N/A
N/A,N/A,N/A,N/A,3.9 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Not Applicable,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.125 inches,N/A,0,N/A,N/A,N/A,1,14.1 cubic feet,N/A,1,Electronic,Silver,Yes,N/A,Yes,N/A,N/A,N/A,N/A,65.375 inches,Glass,Top Freezer,N/A,N/A,N/A,58.5 inches,No,N/A,Black,N/A,29.875 inches,Yes,N/A,N/A,No,Stainless-Steel,1,N/A,N/A,No,Wire,Not Applicable,N/A,N/A,14.1 cubic feet,No,66.125 inches,N/A,No,N/A,N/A,Yes,N/A,N/A,Top,N/A,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,34-3/4,Yes,N/A,N/A,N/A,69-1/2,N/A,N/A,N/A,Yes,N/A,50,N/A,N/A,4,2-Door,Yes,Standard,N/A,N/A,Smooth,N/A,N/A,69,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,Yes,yes,Yes,1,N/A,Yes,N/A,25.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electric,Black,N/A,N/A,N/A,N/A,Black,15.7,Spill-proof glass,N/A,N/A,N/A,Black,N/A,3,N/A,N/A,MWF,N/A,N/A,N/A,N/A,N/A,4,No,N/A,N/A,32-1/4,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,Side-by-Side,9.7,N/A,$77,Yes,N/A,N/A,N/A,N/A,28,Crushed|Cubed,N/A,External,643,N/A,N/A,Yes,N/A,5,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,Yes,32-1/8,N/A,N/A,N/A,N/A,66-1/8,N/A,N/A,N/A,No,N/A,58-1/2,N/A,N/A,2,N/A,Yes,N/A,N/A,N/A,Smooth,N/A,N/A,65-3/8,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,No,2,N/A,No,N/A,18.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analog,Stainless/Stainless look,N/A,N/A,N/A,N/A,Stainless-steel,N/A,Spill-proof glass,N/A,N/A,N/A,Gray,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,29-7/8,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Top Freezer,N/A,N/A,$44,No,N/A,N/A,N/A,N/A,26-5/8,N/A,N/A,N/A,363,N/A,N/A,Yes,N/A,1,N/A,N/A,Reversible,N/A,N/A,N/A,N/A
N/A,N/A,23-1/2,N/A,N/A,N/A,N/A,45-1/2,N/A,N/A,Pull Out Drawer,No,N/A,42-1/2,N/A,N/A,N/A,1-Door,Yes,N/A,N/A,N/A,Smooth,N/A,"17""",45,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,yes,No,N/A,N/A,No,N/A,4.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electric,Stainless/Stainless look,N/A,N/A,N/A,N/A,N/A,3,Glass,N/A,N/A,N/A,Black,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,23-1/2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A,N/A,N/A,Bottom Freezer,1.5,N/A,$42,N/A,N/A,N/A,N/A,N/A,21-1/2,N/A,N/A,N/A,350,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Reversible,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.7 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Water,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Internal,N/A,N/A,LED,643 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,33.625 inches,77 United States dollars,N/A,N/A,N/A,N/A,2,25.4 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75 inches,Glass,Side-by-Side,N/A,Yes,N/A,50.125 inches,No,MWF,N/A,N/A,31.25 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,N/A,N/A,Water|Crushed Ice|Cubed Ice,N/A,N/A,15.7 cubic feet,No,69.25 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Left,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,3.9 cubic feet,Optional,N/A,N/A,N/A,N/A,Swing Door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,363 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.9 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.6 inches,44 United States dollars,N/A,N/A,N/A,N/A,2,18.0 cubic feet,N/A,N/A,Electronic,Black,Yes,N/A,Yes,N/A,N/A,N/A,N/A,65.9 inches,Spill-proof glass,Top Freezer,N/A,N/A,N/A,58.5 inches,N/A,N/A,Black,N/A,30.1 inches,Yes,N/A,N/A,No,Black,N/A,N/A,N/A,N/A,Wire,Not Applicable,N/A,N/A,14.1 cubic feet,No,66.6 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,7.7 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,2,N/A,N/A,Yes,Water,N/A,Yes,Smooth,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,LED,556 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.75 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,2,N/A,No,35.88 inches,59 United States dollars,N/A,N/A,N/A,N/A,3,26.7 cubic feet,Yes,N/A,Digital,Silver,Yes,N/A,N/A,N/A,N/A,N/A,N/A,68.63 inches,Spill-proof glass,French Door,N/A,N/A,N/A,47.38 inches,No,N/A,Silver,556 watts,33.38 inches,No,N/A,N/A,No,Silver,1,N/A,N/A,Yes,Spill-proof glass,Water,N/A,N/A,19 cubic feet,Yes,69.88 inches,N/A,Yes,Yes,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,6 inches
N/A,N/A,33-3/8,Yes,N/A,N/A,N/A,69-7/8,N/A,N/A,N/A,Yes,N/A,47-3/8,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Smooth,N/A,N/A,68-5/8,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,Yes,N/A,N/A,N/A,N/A,27.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Digital,Stainless/Stainless look,N/A,N/A,N/A,N/A,Stainless-steel,19,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,PureSource Ultra,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,French-Door,8.7,N/A,$60,Yes,N/A,N/A,N/A,N/A,28-3/4,N/A,N/A,N/A,564,N/A,N/A,Yes,N/A,N/A,N/A,Stainless-steel/Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.1 cubic feet,Yes,N/A,N/A,N/A,N/A,Swing Door,N/A,N/A,N/A,N/A,3,N/A,N/A,No,Water,N/A,Yes,Smooth,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,49.5 inches,N/A,N/A,N/A,8.5 amperes,N/A,Yes,120 volts,N/A,N/A,No,34.5 inches,N/A,N/A,N/A,N/A,N/A,2,25.6 cubic feet,N/A,4,Digital,Silver,N/A,N/A,Yes,N/A,N/A,N/A,N/A,69.88 inches,Spill-proof glass,Side-by-Side,N/A,Yes,N/A,49.5 inches,N/A,N/A,N/A,N/A,31.75 inches,Yes,N/A,N/A,No,Silver,1,N/A,N/A,N/A,Wire,Water,N/A,N/A,16.5 cubic feet,N/A,69.88 inches,N/A,No,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,Cubed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,6.2 cubic feet,Yes,N/A,N/A,N/A,N/A,Pull Out Drawer,N/A,N/A,N/A,N/A,3,N/A,N/A,Yes,N/A,N/A,N/A,Smooth,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28.25 inches,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,34.63 inches,N/A,N/A,N/A,N/A,N/A,N/A,20.3 cubic feet,N/A,3,Electronic,Gray,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.75 inches,Glass,Bottom Freezer,N/A,N/A,N/A,59.75 inches,No,N/A,Gray,N/A,32.5 inches,N/A,N/A,N/A,No,Silver,1,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,14.1 cubic feet,N/A,66.5 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Bottom,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.1 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LED,363 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.63 inches,N/A,N/A,N/A,6 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.13 inches,44 United States dollars,N/A,N/A,N/A,N/A,2,18.3 cubic feet,N/A,1,Electronic,White,Yes,N/A,N/A,N/A,N/A,N/A,N/A,66.63 inches,Glass,Top Freezer,N/A,N/A,N/A,58.5 inches,No,N/A,N/A,N/A,29.88 inches,Yes,N/A,N/A,No,White,N/A,N/A,N/A,Yes,Glass,Not Applicable,N/A,N/A,14.2 cubic feet,No,66.13 inches,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Top,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,8.4 cubic feet,Yes,N/A,N/A,N/A,N/A,Pull Out Drawer,N/A,No,N/A,N/A,3,N/A,N/A,Yes,Water,N/A,Yes,Smooth,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,Other,549 kilowatt hours,N/A,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,48 inches,N/A,N/A,N/A,N/A,N/A,Yes,120 volts,3,N/A,No,34.5 inches,58 United States dollars,N/A,N/A,N/A,N/A,2,22.6 cubic feet,N/A,4,Electronic,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.63 inches,Spill-proof glass,Side-by-Side,N/A,N/A,N/A,48 inches,N/A,N/A,Black,N/A,32 inches,Yes,N/A,N/A,No,Silver,1,N/A,N/A,Yes,Glass,Water,N/A,N/A,14.2 cubic feet,N/A,69.63 inches,N/A,No,N/A,N/A,Yes,N/A,N/A,Top,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Cubed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,9.11 cubic feet,Yes,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,Water,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Internal,N/A,N/A,Other,702 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,28 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,33.625 inches,84 United States dollars,N/A,N/A,N/A,N/A,2,24.7 cubic feet,N/A,N/A,Electronic,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.75 inches,Glass,Side-by-Side,N/A,N/A,N/A,49.375 inches,No,MWF,Black,N/A,31.25 inches,Yes,N/A,N/A,No,Black,1,N/A,N/A,N/A,N/A,Crushed Ice|Cubed Ice|Water,N/A,N/A,15.63 cubic feet,Yes,69.75 inches,N/A,No,N/A,N/A,N/A,N/A,N/A,Left,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Black,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,Yes,34-1/2,N/A,N/A,N/A,N/A,69-3/8,N/A,N/A,N/A,No,N/A,60,N/A,N/A,2,N/A,Yes,N/A,N/A,N/A,Textured,N/A,N/A,68-5/8,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,yes,No,2,N/A,N/A,N/A,20.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analog,Stainless/Stainless look,Yes,N/A,N/A,N/A,Stainless-steel,15.4,Spill-proof glass,N/A,N/A,N/A,Black,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,No,N/A,N/A,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Top Freezer,5.1,N/A,$52,No,N/A,N/A,N/A,N/A,28-3/4,N/A,N/A,N/A,430,N/A,N/A,Yes,N/A,1,N/A,N/A,Reversible,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,7 cubic feet,Yes,N/A,N/A,N/A,Yes,Pull Out Drawer,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Internal,N/A,N/A,LED,664 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,24.375 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,N/A,4,N/A,N/A,31.25 inches,80 United States dollars,N/A,N/A,N/A,N/A,2,14.9 cubic feet,N/A,N/A,Digital,Silver,Yes,N/A,N/A,N/A,N/A,N/A,N/A,69 inches,Glass,French Door,N/A,N/A,N/A,43.975 inches,No,RPWFE,N/A,N/A,30.25 inches,No,N/A,N/A,Yes,Silver,N/A,N/A,N/A,N/A,N/A,Cubed Ice|Crushed Ice|Water,N/A,N/A,14.9 cubic feet,Yes,69.875 inches,N/A,Yes,N/A,N/A,Yes,N/A,N/A,Bottom,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,4.02 cubic feet,Optional,N/A,N/A,N/A,Yes,Swing Door,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,358 kilowatt hours,No,N/A,N/A,N/A,N/A,Yes,yes,N/A,N/A,26.625 inches,N/A,N/A,N/A,15 amperes,N/A,Yes,120 volts,N/A,N/A,N/A,32.875 inches,43 United States dollars,N/A,N/A,N/A,N/A,2,17.5 cubic feet,N/A,N/A,Analog,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.875 inches,Wire,Top Freezer,N/A,N/A,N/A,56.75 inches,No,N/A,N/A,N/A,30.5 inches,Yes,N/A,N/A,No,Stainless-Steel,N/A,N/A,N/A,Yes,Wire,Not Applicable,N/A,N/A,13.51 cubic feet,No,67.375 inches,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Top,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Applicable,N/A,N/A,N/A,N/A,N/A
